iter	Passed	Remaining
0	6	6794
1	14	6987
2	18	6276
3	22	5549
4	25	5120
5	30	5079
6	35	4987
7	38	4736
8	40	4506
9	43	4312
10	53	4832
11	57	4759
12	61	4652
13	66	4681
14	70	4650
15	73	4549
16	77	4508
17	81	4458
18	84	4376
19	89	4398
20	92	4311
21	97	4340
22	100	4275
23	103	4201
24	106	4142
25	109	4107
26	114	4109
27	116	4048
28	119	3999
29	122	3960
30	125	3920
31	129	3908
32	132	3896
33	136	3868
34	138	3825
35	141	3798
36	145	3783
37	148	3751
38	151	3724
39	153	3690
40	156	3658
41	159	3632
42	161	3599
43	164	3569
44	167	3554
45	170	3526
46	172	3503
47	175	3485
48	178	3470
49	182	3460
50	184	3434
51	187	3411
52	190	3399
53	193	3390
54	197	3385
55	199	3367
56	202	3348
57	205	3331
58	208	3324
59	211	3314
60	215	3312
61	218	3308
62	222	3312
63	226	3317
64	230	3308
65	233	3297
66	235	3284
67	239	3279
68	243	3280
69	245	3266
70	248	3247
71	250	3230
72	253	3212
73	256	3204
74	258	3190
75	261	3174
76	263	3158
77	265	3142
78	268	3128
79	270	3114
80	274	3109
81	277	3103
82	280	3093
83	282	3079
84	284	3063
85	287	3052
86	290	3048
87	293	3037
88	295	3026
89	298	3013
90	300	3000
91	303	2994
92	306	2985
93	308	2977
94	312	2978
95	315	2974
96	318	2966
97	321	2959
98	324	2951
99	326	2942
100	329	2933
101	331	2922
102	334	2911
103	336	2901
104	339	2892
105	341	2882
106	344	2872
107	346	2862
108	349	2854
109	351	2844
110	353	2834
111	356	2827
112	358	2817
113	361	2807
114	363	2796
115	366	2789
116	368	2780
117	370	2772
118	373	2763
119	375	2754
120	378	2747
121	380	2738
122	382	2730
123	385	2723
124	387	2714
125	390	2705
126	392	2698
127	395	2691
128	397	2685
129	400	2677
130	402	2670
131	404	2662
132	407	2654
133	409	2646
134	412	2644
135	415	2639
136	417	2632
137	420	2625
138	422	2619
139	425	2612
140	427	2606
141	430	2600
142	432	2592
143	434	2585
144	437	2579
145	439	2573
146	442	2569
147	445	2563
148	447	2556
149	449	2548
150	452	2542
151	454	2535
152	457	2531
153	459	2525
154	462	2519
155	464	2513
156	467	2507
157	469	2501
158	471	2494
159	474	2489
160	476	2483
161	478	2477
162	481	2471
163	483	2465
164	486	2459
165	488	2456
166	491	2450
167	493	2445
168	495	2438
169	498	2433
170	500	2428
171	503	2424
172	507	2424
173	509	2420
174	512	2415
175	516	2417
176	519	2413
177	521	2409
178	524	2404
179	526	2398
180	528	2392
181	531	2387
182	533	2382
183	536	2377
184	538	2372
185	540	2367
186	543	2362
187	545	2357
188	548	2352
189	550	2348
190	553	2344
191	556	2343
192	560	2342
193	563	2340
194	566	2339
195	569	2336
196	572	2334
197	575	2331
198	579	2331
199	582	2330
200	587	2334
201	602	2381
202	606	2381
203	621	2425
204	626	2430
205	630	2429
206	636	2438
207	639	2435
208	645	2441
209	650	2446
210	654	2447
211	657	2445
212	661	2445
213	666	2446
214	669	2442
215	672	2441
216	675	2435
217	678	2433
218	681	2430
219	684	2427
220	687	2422
221	689	2416
222	695	2422
223	698	2421
224	701	2416
225	704	2411
226	706	2405
227	710	2405
228	713	2401
229	716	2400
230	719	2394
231	721	2389
232	724	2384
233	728	2385
234	732	2385
235	735	2381
236	738	2377
237	743	2379
238	746	2375
239	749	2372
240	751	2367
241	754	2362
242	758	2362
243	762	2361
244	765	2358
245	767	2353
246	770	2348
247	774	2348
248	777	2345
249	780	2341
250	782	2336
251	785	2332
252	789	2330
253	792	2327
254	795	2324
255	799	2322
256	802	2318
257	805	2317
258	809	2315
259	812	2313
260	815	2308
261	817	2303
262	820	2298
263	823	2294
264	826	2293
265	829	2288
266	831	2283
267	834	2278
268	836	2273
269	839	2268
270	841	2263
271	843	2258
272	846	2253
273	848	2248
274	850	2243
275	853	2238
276	855	2234
277	858	2229
278	860	2224
279	863	2221
280	866	2216
281	869	2213
282	871	2208
283	874	2203
284	876	2199
285	878	2194
286	881	2189
287	883	2184
288	886	2181
289	889	2177
290	891	2172
291	894	2167
292	896	2163
293	899	2158
294	901	2155
295	904	2151
296	906	2146
297	909	2141
298	911	2137
299	913	2132
300	916	2129
301	919	2124
302	921	2119
303	923	2115
304	926	2110
305	928	2105
306	930	2101
307	933	2097
308	935	2092
309	938	2087
310	940	2083
311	942	2078
312	945	2074
313	947	2069
314	949	2065
315	952	2061
316	954	2057
317	957	2052
318	959	2048
319	962	2044
320	964	2040
321	967	2036
322	969	2031
323	971	2027
324	974	2023
325	976	2019
326	979	2015
327	981	2011
328	984	2007
329	986	2002
330	988	1998
331	991	1994
332	993	1989
333	996	1987
334	999	1983
335	1001	1979
336	1004	1975
337	1006	1971
338	1009	1968
339	1011	1964
340	1014	1960
341	1017	1956
342	1019	1952
343	1021	1948
344	1024	1944
345	1026	1940
346	1029	1936
347	1031	1932
348	1033	1928
349	1036	1924
350	1038	1920
351	1041	1917
352	1044	1915
353	1048	1913
354	1053	1913
355	1056	1911
356	1059	1907
357	1061	1903
358	1064	1900
359	1067	1897
360	1069	1893
361	1071	1889
362	1074	1885
363	1076	1881
364	1079	1877
365	1082	1874
366	1084	1871
367	1087	1867
368	1090	1864
369	1092	1860
370	1095	1856
371	1097	1853
372	1100	1849
373	1102	1845
374	1105	1842
375	1107	1838
376	1110	1834
377	1113	1831
378	1115	1828
379	1118	1824
380	1120	1820
381	1123	1816
382	1125	1813
383	1127	1809
384	1130	1805
385	1132	1802
386	1135	1798
387	1137	1794
388	1140	1791
389	1142	1787
390	1145	1784
391	1148	1780
392	1150	1777
393	1153	1773
394	1155	1769
395	1158	1766
396	1161	1764
397	1164	1760
398	1166	1757
399	1169	1754
400	1172	1751
401	1175	1748
402	1177	1745
403	1180	1741
404	1183	1738
405	1185	1734
406	1188	1730
407	1190	1727
408	1193	1724
409	1196	1721
410	1199	1718
411	1201	1715
412	1204	1711
413	1206	1708
414	1209	1704
415	1212	1701
416	1214	1698
417	1217	1694
418	1219	1691
419	1222	1688
420	1224	1684
421	1227	1681
422	1231	1679
423	1233	1676
424	1236	1673
425	1239	1670
426	1242	1667
427	1245	1665
428	1249	1663
429	1252	1660
430	1255	1656
431	1257	1653
432	1260	1650
433	1263	1647
434	1265	1643
435	1268	1640
436	1270	1637
437	1273	1633
438	1276	1631
439	1279	1628
440	1283	1626
441	1286	1624
442	1289	1621
443	1292	1618
444	1294	1614
445	1297	1611
446	1299	1608
447	1302	1604
448	1304	1600
449	1307	1598
450	1310	1594
451	1312	1591
452	1315	1588
453	1317	1584
454	1320	1581
455	1323	1578
456	1325	1575
457	1328	1572
458	1330	1568
459	1333	1565
460	1335	1561
461	1338	1558
462	1340	1555
463	1343	1551
464	1345	1548
465	1348	1545
466	1351	1541
467	1353	1538
468	1355	1535
469	1358	1531
470	1360	1528
471	1363	1524
472	1365	1521
473	1368	1518
474	1371	1516
475	1374	1513
476	1378	1511
477	1381	1508
478	1384	1506
479	1389	1505
480	1393	1503
481	1395	1500
482	1398	1496
483	1400	1493
484	1403	1490
485	1405	1486
486	1408	1483
487	1410	1480
488	1413	1477
489	1415	1473
490	1418	1470
491	1421	1467
492	1423	1464
493	1426	1460
494	1428	1457
495	1430	1453
496	1433	1450
497	1435	1447
498	1438	1443
499	1440	1440
500	1442	1437
501	1445	1433
502	1447	1430
503	1450	1427
504	1452	1424
505	1455	1420
506	1457	1417
507	1460	1414
508	1462	1410
509	1464	1407
510	1467	1404
511	1469	1400
512	1472	1397
513	1474	1394
514	1477	1391
515	1479	1387
516	1481	1384
517	1484	1381
518	1486	1378
519	1489	1374
520	1491	1371
521	1493	1368
522	1496	1364
523	1498	1361
524	1501	1358
525	1503	1354
526	1505	1351
527	1508	1348
528	1510	1345
529	1513	1341
530	1515	1338
531	1518	1335
532	1520	1332
533	1522	1328
534	1525	1325
535	1528	1322
536	1531	1320
537	1534	1317
538	1536	1314
539	1539	1311
540	1541	1308
541	1544	1305
542	1547	1302
543	1550	1299
544	1552	1296
545	1555	1293
546	1558	1290
547	1560	1287
548	1563	1284
549	1565	1280
550	1568	1278
551	1571	1275
552	1573	1272
553	1576	1269
554	1579	1266
555	1581	1263
556	1584	1260
557	1587	1257
558	1590	1254
559	1592	1251
560	1595	1248
561	1597	1245
562	1600	1242
563	1603	1239
564	1605	1236
565	1607	1232
566	1610	1229
567	1612	1226
568	1615	1223
569	1618	1220
570	1621	1218
571	1623	1214
572	1626	1211
573	1628	1208
574	1631	1205
575	1634	1202
576	1636	1200
577	1639	1197
578	1642	1194
579	1644	1190
580	1647	1187
581	1650	1185
582	1652	1182
583	1655	1178
584	1657	1175
585	1660	1172
586	1662	1169
587	1665	1167
588	1668	1164
589	1670	1160
590	1673	1158
591	1675	1154
592	1678	1151
593	1681	1149
594	1683	1146
595	1686	1143
596	1689	1140
597	1691	1137
598	1694	1134
599	1697	1131
600	1699	1128
601	1702	1125
602	1706	1123
603	1709	1120
604	1712	1118
605	1715	1115
606	1717	1111
607	1720	1109
608	1722	1106
609	1725	1103
610	1728	1100
611	1732	1098
612	1736	1095
613	1738	1093
614	1741	1090
615	1744	1087
616	1746	1084
617	1749	1081
618	1752	1078
619	1754	1075
620	1757	1072
621	1759	1069
622	1762	1066
623	1764	1063
624	1767	1060
625	1769	1057
626	1772	1054
627	1774	1051
628	1777	1048
629	1779	1045
630	1782	1042
631	1784	1039
632	1787	1036
633	1790	1033
634	1793	1030
635	1795	1027
636	1797	1024
637	1800	1021
638	1802	1018
639	1805	1015
640	1807	1012
641	1810	1009
642	1813	1006
643	1815	1003
644	1818	1000
645	1820	997
646	1823	994
647	1826	992
648	1829	989
649	1831	986
650	1834	983
651	1836	980
652	1839	977
653	1841	974
654	1844	971
655	1847	968
656	1849	965
657	1852	962
658	1855	959
659	1857	956
660	1860	954
661	1862	951
662	1865	948
663	1868	945
664	1870	942
665	1873	939
666	1876	936
667	1878	933
668	1881	930
669	1883	927
670	1886	925
671	1889	922
672	1892	919
673	1894	916
674	1898	914
675	1901	911
676	1903	908
677	1906	905
678	1909	902
679	1912	900
680	1915	897
681	1919	894
682	1923	892
683	1926	890
684	1930	887
685	1932	884
686	1934	881
687	1937	878
688	1940	876
689	1943	873
690	1946	870
691	1948	867
692	1951	864
693	1954	861
694	1956	858
695	1959	855
696	1961	852
697	1964	849
698	1966	846
699	1968	843
700	1971	840
701	1974	838
702	1978	835
703	1982	833
704	1985	830
705	1987	827
706	1992	825
707	1996	823
708	1999	820
709	2001	817
710	2004	814
711	2008	812
712	2011	809
713	2015	807
714	2017	804
715	2022	802
716	2026	799
717	2029	797
718	2031	794
719	2034	791
720	2037	788
721	2041	786
722	2043	783
723	2046	780
724	2048	777
725	2050	774
726	2053	771
727	2057	768
728	2060	765
729	2062	762
730	2065	760
731	2067	757
732	2070	754
733	2075	752
734	2077	749
735	2080	746
736	2082	743
737	2085	740
738	2088	737
739	2090	734
740	2093	731
741	2096	728
742	2098	725
743	2101	723
744	2104	720
745	2106	717
746	2109	714
747	2111	711
748	2114	708
749	2117	705
750	2119	702
751	2122	699
752	2125	697
753	2127	694
754	2130	691
755	2133	688
756	2135	685
757	2138	682
758	2140	679
759	2143	676
760	2145	673
761	2148	670
762	2151	668
763	2153	665
764	2156	662
765	2158	659
766	2161	656
767	2164	653
768	2167	651
769	2170	648
770	2172	645
771	2174	642
772	2177	639
773	2179	636
